,econ_interven,environment,redistribution,civlib_laworder,immigrate_policy,sociallifestyle,lrgen_factor,lrecon_factor,galtan_factor,party_id,party_id,party_id
308,5,3,3,6,7,8,7,5,8,3101.0,3101.0,3101.0
309,4,5,3,4,4,3,4,5,2,3102.0,3102.0,3102.0
310,6,5,7,7,9,9,8,8,9,3115.0,3115.0,3115.0
311,5,4,5,3,3,1,5,7,1,3105.0,3105.0,3105.0
312,4,4,2,8,5,8,6,3,7,3103.0,3103.0,3103.0
313,5,0,5,3,2,1,6,5,1,3104.0,3104.0,3104.0
314,3,5,2,3,4,5,6,4,5,3108.0,3108.0,3108.0
315,6,3,4,3,4,2,4,5,1,3110.0,3110.0,3110.0
316,5,3,2,7,9,8,9,9,9,3107.0,3107.0,3107.0
317,3,8,2,4,8,5,3,2,8,3116.0,3116.0,3116.0
318,5,6,4,6,7,3,3,4,6,3117.0,3117.0,3117.0
319,6,4,6,3,3,3,5,7,1,3118.0,3118.0,3118.0
320,4,4,4,3,2,2,3,3,1,3106.0,3106.0,3106.0
321,6,7,3,7,9,10,10,6,10,3119.0,3119.0,3119.0
322,4,7,4,7,7,6,6,5,4,3101.0,3101.0,3101.0
323,2,6,2,3,4,1,3,3,2,3102.0,3102.0,3102.0
324,7,4,7,6,7,5,5,8,6,3115.0,3115.0,3115.0
325,7,8,7,2,4,1,2,7,2,3105.0,3105.0,3105.0
326,1,3,1,5,5,4,4,2,5,3103.0,3103.0,3103.0
327,8,7,7,2,5,2,5,7,3,3104.0,3104.0,3104.0
328,0,3,0,6,8,6,4,1,5,3108.0,3108.0,3108.0
329,1,3,2,3,2,1,4,2,3,3110.0,3110.0,3110.0
330,8,8,7,6,7,7,7,8,7,3107.0,3107.0,3107.0
331,2,4,1,1,6,3,4,0,4,3116.0,3116.0,3116.0
332,3,5,2,4,7,6,5,2,5,3117.0,3117.0,3117.0
333,7,8,6,6,2,4,5,6,5,3118.0,3118.0,3118.0
334,4,3,3,4,4,1,2,4,3,3106.0,3106.0,3106.0
335,6,8,4,8,8,9,9,7,8,3119.0,3119.0,3119.0
336,4,6,4,9,9,8,7,7,8,3101.0,3101.0,3101.0
337,4,5,3,4,7,3,4,4,4,3102.0,3102.0,3102.0
338,6,6,3,10,10,10,9,8,10,3115.0,3115.0,3115.0
339,9,4,5,1,6,0,5,5,0,3105.0,3105.0,3105.0
340,5,3,4,4,6,2,5,4,4,3103.0,3103.0,3103.0
341,8,7,6,6,6,3,6,6,5,3104.0,3104.0,3104.0
342,2,4,2,3,4,4,4,3,4,3108.0,3108.0,3108.0
343,3,2,2,2,4,3,3,3,3,3110.0,3110.0,3110.0
344,3,7,6,9,10,9,10,9,9,3107.0,3107.0,3107.0
345,6,6,2,5,7,6,7,8,4,3116.0,3116.0,3116.0
